feature,importance,mean_abs_shap
Intrusion_Score,0.1300207,1.478083
Negative_Cognition_Score,0.075874,1.1144161
Hyperarousal_Score,0.06935294,1.0170246
Avoidance_Score,0.067289695,0.7721271
Sleep_Quality,0.04782,0.5241471
Depression_Score,0.04364469,0.45097116
Alcohol_Use,0.036731478,0.44356212
Prior_MH_Diagnosis,0.055881005,0.34560424
Therapy_Adherence,0.03528568,0.32826152
Anxiety_Score,0.0395568,0.29972237
Substance_Use,0.045825657,0.28717393
LEC5_Score,0.03343426,0.23212357
Social_Support_Rating,0.036111783,0.2202173
Time_Since_Trauma_Months,0.02928148,0.17120023
Age,0.029187601,0.14587364
Num_Traumatic_Events,0.03269556,0.11992829
Exercise_Frequency,0.031489313,0.11498706
Trauma_Type,0.03516695,0.1069421
Employment_Status,0.032098204,0.072805025
Education_Level,0.0290886,0.070901625
Marital_Status,0.033562373,0.06369135
Gender,0.030601164,0.044970717
